work_type,source_identifier,files,title,title_alternative,subtitle,creator,contributor,editor,source,resource_type,physical_medium,language,abstract,description,identifier,date_issued,date_available,academic_department,division,organization,subject,keyword,place,license,rights_statement,visibility
Image,lc-spcol-mdl-prints-0168,files/lc-spcol-mdl-prints-0168.tif,LAFAYETTE.,"","","Delpech, François Séraphin, 1778-1825 -- lithographer|Grévedon, Henri, 1776-1860 -- artist","","","",Image,lithograph,"","",Hand-colored lithograph.,hdl:10385/tq57ns02b|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0168|noid:tq57ns02b|mdl:33.1.b,"","","","","",http://id.worldcat.org/fast/52665|http://id.worldcat.org/fast/1423831,Portraits: Weyler|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0534,files/lc-spcol-mdl-prints-0534.tif,"LAFAYETTE, Lieutenant Général.","","",Chasselat -- artist|Godefroy -- engraver,"","","",Image,line engraving,fr,"","",noid:9k41zf465|mdl:XXII.37.a|hdl:10385/9k41zf465|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0534,"","","","","",http://id.worldcat.org/fast/52665|http://id.worldcat.org/fast/1423831,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0543,files/lc-spcol-mdl-prints-0543.tif,LAFAYETTE DANS LES PRISONS D'OLMUTZ,"","","Langlois, Philibert -- engraver|Scheffer, Ary, 1795-1858 -- artist","","","",Image,etching,fr,"","A portrait of Lafayette, his wife, and two daughters in Olmütz prison.",hdl:10385/8p58pd783|mdl:XXII.48|noid:8p58pd783|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0543,"","","","","",http://id.worldcat.org/fast/1205902|http://id.worldcat.org/fast/1529026|http://id.worldcat.org/fast/1529949|http://id.worldcat.org/fast/332251|http://id.worldcat.org/fast/219731|http://id.worldcat.org/fast/1198611|http://id.worldcat.org/fast/52665,"Scenes from the Life: 1776-1834|Lasteyrie du Saillant, Virginie du Motier de La Fayette, marquise de, 1782-1849|Marquis de Lafayette Prints Collection","","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0548,files/lc-spcol-mdl-prints-0548.tif,LANDING OF GEN. LA FAYETTE.,"","","","","","",Image,etching,en,"","",hdl:10385/vt150k21k|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0548|noid:vt150k21k|mdl:XXII.52,"","","","","",http://id.worldcat.org/fast/52665,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0563,files/lc-spcol-mdl-prints-0563.tif,"General Lafayette's Landung, im Castle Garden in New York, am 16. August, 1824. P. 402","","","","","","",Image,wood engraving,de,"","From Allgemeine Geschichte ver Ber. Staaten von Amerika. Published in Hartford, Conn. in 1851.  Stereotyped in Philadelphia, a center for German printing in America at that time.",noid:w66344609|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0563|hdl:10385/w66344609,"","","","","",http://id.worldcat.org/fast/52665,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0612,files/lc-spcol-mdl-prints-0612.tif,MORT DE LA FAYETTE,"","",Carrière -- artist,"","","",Image,lithograph,fr,"",Lafayette's deathbed scene.  Lithograph in color.,hdl:10385/1831ck80c|mdl:XXII.61|noid:1831ck80c|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0612,"","","","","",http://id.worldcat.org/fast/52665|http://id.worldcat.org/fast/1185273,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0617,files/lc-spcol-mdl-prints-0617.tif,GEN. LA FAYETTE STORMING THE REDOUBT AT YORKTOWN,"","","","","","",Image,engraving,en,"","",mdl:XXII.13.1a|hdl:10385/2801ph45n|noid:2801ph45n|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0617,"","","","","",http://id.worldcat.org/fast/1354968|http://id.worldcat.org/fast/869220|http://id.worldcat.org/fast/52665,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0546,files/lc-spcol-mdl-prints-0546.tif,LAFAYETTE EN AMÉRIQUE.,"","","Johannot, Tony, 1803-1852 -- artist|Frilley, Jean Jacques, b. 1797-- engraver","","","",Image,line engraving,fr,"",Idealized view of populace acclaiming Lafayette.,noid:z603qz23h|hdl:10385/z603qz23h|mdl:XXII.50.b|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0546,"","","","","",http://id.worldcat.org/fast/52665|http://id.worldcat.org/fast/1423831,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0518,files/lc-spcol-mdl-prints-0518.tif,La Garde Nationale de Paris et de Versailles,"","","","","","",Image,engraving,fr,"",Same as XXII.20. Trial proof with space for principal scene and title as above left blank.  Engraving with etching.,hdl:10385/c247ds958|noid:c247ds958|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0518|mdl:XXII.21,"","","","","",http://id.worldcat.org/fast/72466|http://id.worldcat.org/fast/52665|http://id.worldcat.org/fast/1423831,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
Image,lc-spcol-mdl-prints-0490,files/lc-spcol-mdl-prints-0490.tif,BARON DE KALB INTRODUCING LAFAYETTE TO SILAS DEANE.,"","","Chappel, Alonzo, 1828-1887-- artist","","","",Image,line engraving,en,"","",hdl:10385/bk128b98q|noid:bk128b98q|url:http://digital.lafayette.edu/collections/lafayetteprints/mdl-prints-0490|mdl:XXII.1,"","","","","",http://id.worldcat.org/fast/153431|http://id.worldcat.org/fast/52665|http://id.worldcat.org/fast/1423831|http://id.worldcat.org/fast/303054,Scenes from the Life: 1776-1834|Marquis de Lafayette Prints Collection,"","",http://creativecommons.org/publicdomain/mark/1.0/,open
